Name,Country,Region,Website,Facebook,Instagram,LinkedIn,Github,X(Twitter),Meetup,Youtube,Mastodon,File
Addis Ababa,Ethiopia,EMEA,,https://www.facebook.com/pyladiesaddis/,,,,,,,,addis_ababa.png
Amsterdam,Netherlands,EMEA,https://amsterdam.pyladies.com/,,,https://www.linkedin.com/company/pyladies-amsterdam/,https://github.com/pyladiesams,https://twitter.com/PyLadiesAMS,https://www.meetup.com/PyLadiesAMS/,https://www.youtube.com/pyladiesamsterdam,,amsterdam.png
Ankara,Turkey,EMEA,,https://www.facebook.com/pyladiesankara,https://www.instagram.com/pyladiesankara/,https://www.linkedin.com/company/pyladiesankara/,,https://twitter.com/pyladiesankara,,https://www.youtube.com/c/PyLadiesAnkara,,ankara.png
Antananarivo,Madagascar,EMEA,,,,,https://github.com/PyladiesTNR,https://twitter.com/pyladiestnr,,,,antananarivo.png
Arequipa,Peru,LATAM,https://pyladiesaqp.blogspot.com/,https://www.facebook.com/aqp.pyladies/,https://www.instagram.com/aqp.pyladies/?hl=en,linkedin.com/company/pyladies-aqp,https://github.com/PyladiesAqp,https://twitter.com/pyladiesaqp,,,,arequipa.png
Argentina,Argentina,LATAM,,https://www.facebook.com/pyladiesarg,,,https://github.com/pyladiesargentina,https://www.twitter.com/pyladiesARG,,,,argentina.png
Asaba,Nigeria,EMEA,,https://www.facebook.com/asabapyladies/,,,,https://twitter.com/pyladiesasaba,,,,asaba.png
Baku,Azerbaijan,EMEA,,https://www.facebook.com/pyladiesbaku/,https://www.instagram.com/pyladiesbaku/,https://www.linkedin.com/company/pyladies-baku/,https://github.com/pyladiesbaku,,,,,baku.png
Bangalore,India,APAC,https://pyladiesblr.gitlab.io/pyladiesblr/,https://www.facebook.com/pyladiesblr/,,https://www.linkedin.com/company/pyladies-bangalore/,,https://twitter.com/pyladiesblr,https://www.meetup.com/pyladies-bangalore-chapter/,https://www.youtube.com/channel/UCRF8Cf4Ppe4OFed4zbgujjg,,bangalore.png
Bangkok,Thailand,APAC,https://pyladiesbkk.netlify.app/,https://www.facebook.com/pyladiesbkk/,,https://www.linkedin.com/company/pyladies-bangkok/about/,https://github.com/pyladiesbkk,https://twitter.com/pyladiesbkk,,https://www.youtube.com/channel/UCO7Yhj3212Yu7_1YUAdZoOg/videos,,bangkok.png
Berlin,Germany,EMEA,https://berlin.pyladies.com/,https://www.facebook.com/PyLadiesBerlin,,https://www.linkedin.com/in/pyladies-berlin-32879a18a/,https://github.com/PyLadiesBerlin,https://twitter.com/PyLadiesBer,https://www.meetup.com/pyladies-berlin/,https://www.youtube.com/user/PyLadiesBerlin,,berlin.png
Blumenau,Brazil,LATAM,,https://www.facebook.com/people/PyLadies-Blumenau/100068911285931/,https://www.instagram.com/pyladies_blumenau/?hl=en,https://www.linkedin.com/company/pyladies-blumenau/about/,https://github.com/pyladies-blumenau,https://twitter.com/pyladiesbnu,,,,blumenau.png
Boston,USA,,,,,,https://gitlab.com/groups/pyladies-boston?sort=created_asc,https://twitter.com/PyLadiesBoston,https://www.meetup.com/pyladies-boston/,,,boston.png
Brasil,Brazil,LATAM,https://brasil.pyladies.com/,https://www.facebook.com/PyLadiesBrazil/,https://www.instagram.com/pyladiesbrasil/,,https://github.com/pyladies-brazil,https://twitter.com/PyLadiesBrasil,,https://www.youtube.com/c/BrazilPyLadies,,brasil.png
Bratislava,Slovakia,EMEA,https://bratislava.pyladies.com/,https://www.facebook.com/groups/PyLadiesBratislava/,,,https://github.com/pyladies-bratislava,,https://www.meetup.com/pyladies-bratislava/,,,bratislava.png
Budapest,Hungary,EMEA,,https://www.facebook.com/pyladiesbudapest/,,,,,https://www.meetup.com/pyladies-budapest/,https://www.youtube.com/channel/UCPG7wjYJ_rqiMUxPlkAsRkw,,budapest.png
Cali,Colombia,LATAM,,,https://www.instagram.com/pyladiescali/,https://www.linkedin.com/in/pyladiescali/,,https://twitter.com/pyladiescali,https://www.meetup.com/pyladies-co-cali/,,,cali.png
Caxias do Sul,Brazil,LATAM,https://pyladiescaxias.github.io/,https://www.facebook.com/pyladiescaxiasdosul/,,,https://github.com/PyladiesCaxias,https://twitter.com/caxiaspyladies,,,,caxias_do_sul.png
Chennai,India,APAC,https://chennai.pyladies.com/index.html,https://www.facebook.com/pyladiesofchennai,https://www.instagram.com/pyladies_chennai/?hl=en,https://www.linkedin.com/company/pyladieschennai/,https://github.com/pyladieschennai,https://twitter.com/pyladieschennai,,https://www.youtube.com/channel/UCAV0XpiOAu2N424b4llJdOg,,chennai.png
Chicago,USA,,https://chicago.pyladies.com/,,,,,https://twitter.com/pyladieschicago,https://www.meetup.com/Chicago-PyLadies,,,chicago.png
Ciudad de México,Mexico,LATAM,,https://www.facebook.com/pyladiescdmx/,,https://www.linkedin.com/company/pyladies-cdmx/about/,https://mozilla.github.io/reps-archive/e/mexico-city-pyladies-meetup/index.html,https://twitter.com/mxpyladies?lang=en,https://www.meetup.com/es/mexico-city-pyladies-meetup/,,,ciudad_de_méxico.png
Cleveland,USA,,https://www.clepyd.org/,https://www.facebook.com/clepyladies,https://www.instagram.com/clepyladies,,,https://twitter.com/clepyladies,https://www.meetup.com/cle-pyladies/,https://www.youtube.com/channel/UCrX6AAcxXO_-8gitJWdjkuw,,cleveland.png
Cochabamba,Bolivia,LATAM,https://cbba.pyladies.com/,,,,,,,,,cochabamba.png
Colombia,Colombia,LATAM,https://www.pyladies.co/,https://www.facebook.com/pyladiesco/,https://www.instagram.com/pyladies_co/,,https://github.com/pyladies-colombia,https://twitter.com/pyladies_co?lang=en,,,,colombia.png
Congo-Brazzaville,Congo,EMEA,,https://www.facebook.com/pyladiescongo/,,,https://github.com/congopyladies,https://twitter.com/PyladiesCongo/status/1505962654376071178,,,,congo-brazzaville.png
Cuernavaca,Mexico,LATAM,,,,,,https://twitter.com/PyLadies_Cuerna,https://www.meetup.com/pyladies-cuernavaca,,,cuernavaca.png
Curitiba,Brazil,LATAM,,https://www.facebook.com/PyLadiesCuritiba/,,https://www.linkedin.com/company/pyladies-curitiba/,https://github.com/pyladies-curitiba,,https://www.meetup.com/nl-NL/PyLadies-Curitiba/,,,curitiba.png
Doboj,Bosnia,EMEA,,https://www.facebook.com/pyladiesdobojbih/,,,https://github.com/PyladiesDoboj,https://twitter.com/pyladiesdoboj/,,,,doboj.png
Dublin,Ireland,EMEA,https://dublin.pyladies.com/,https://www.facebook.com/PyladiesDublin,https://www.instagram.com/PyLadiesDub/,https://www.linkedin.com/company/pyladies-dublin/,https://github.com/PyLadiesDublin,https://twitter.com/PyLadiesDub,https://www.meetup.com/PyLadiesDublin/events/,https://www.youtube.com/channel/UCMunGHeQPceOWhNSqlmYWPg,,dublin.png
Edinburgh,Scotland,EMEA,,https://www.facebook.com/PyLadiesEdinburgh/,,,,https://twitter.com/PyLadiesEdin,,,,edinburgh.png
En Español,,LATAM,https://enespanol.pyladies.com/,https://www.facebook.com/profile.php?id=61550096252467,https://instagram.com/pyladiesespanol,https://www.linkedin.com/company/pyladiesespanol,,https://twitter.com/pyladiesespanol,,https://www.youtube.com/channel/UClhDhiyKpVafTWfj4FYad1Q,https://mastodon.social/@pyladiesespanol,en_español.png
Florianópolis,Brazil,LATAM,,https://www.facebook.com/pyladiesfloripa/,https://www.instagram.com/pyladiesfloripa/?igshid=ZjE2NGZiNDQ%3D,https://www.linkedin.com/company/pyladies-floripa/,https://github.com/pyladies-floripa,https://twitter.com/PyLadiesFloripa,,,,florianópolis.png
Fortaleza,Brazil,LATAM,,https://www.facebook.com/PyLadiesFortaleza/,https://www.instagram.com/pyladiesfortaleza/,https://www.linkedin.com/company/pyladiesfortaleza,https://github.com/pyladiesfortaleza,https://twitter.com/pyladiesfort?lang=en,,https://www.youtube.com/channel/UCTwhnLRWeukfXUXq_hRS42A,,fortaleza.png
Ghana,Ghana,EMEA,,https://www.facebook.com/pyladiesghana/,https://www.instagram.com/pyladiesghana/,https://www.linkedin.com/groups/13663330/,,https://twitter.com/PyLadiesGhana?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,,,,ghana.png
Goiânia,Brazil,LATAM,,,https://www.instagram.com/pyladies_goiania/,https://www.linkedin.com/company/pyladies-goi%C3%A2nia/,https://github.com/PyLadies-Goiania/GitHub,,,https://m.youtube.com/@pyladiesgoiania5250,,goiânia.png
Grand Rapids,USA,,,https://www.facebook.com/pyladiesgrandrapids/,,,https://github.com/PyLadiesGR,https://twitter.com/pyladiesgr,https://www.meetup.com/pyladiesgrandrapids/,https://www.youtube.com/channel/UCdVybG4Ld_vQCM-BCuj2yrw,,grand_rapids.png
Guatemala,Guatemala,,,,https://www.instagram.com/pyladiesgtcity/?hl=en,https://www.linkedin.com/company/pyladies-guatemala-city/,https://github.com/PyLadiesGTCity,https://twitter.com/pyladiesgtcity?lang=en,,https://www.youtube.com/channel/UC31Nt3doP4QiBcfkVF6YCuw/videos?app=desktop&view=0&sort=dd&shelf_id=0,,guatemala.png
Hamburg,Germany,EMEA,https://hamburg.pyladies.com/,,,https://www.linkedin.com/company/pyladies-hamburg/,https://github.com/pyladieshamburg,https://twitter.com/pyladies,https://www.meetup.com/de-DE/pyladies-hamburg/,https://www.youtube.com/@HamburgPyLadies/playlists,,hamburg.png
Kazan,Russia,APAC,,https://www.facebook.com/pyladieskzn/,https://www.instagram.com/pyladieskzn/?hl=en,,,,,https://www.youtube.com/channel/UCibcWQB1sXFiY50Q5OtuslQ,,kazan.png
La Paz,Bolivia,LATAM,,https://www.facebook.com/pyladieslapaz/,https://www.instagram.com/pyladieslapaz/,,https://github.com/pyladieslapaz,,https://www.meetup.com/la-paz-pyladies-meetup/,https://www.youtube.com/channel/UC1XIES8nbtz5SrjWbXhkuPQ,,la_paz.png
Lautech,Nigeria,EMEA,,,,,,https://twitter.com/pyladieslautech,,,,lautech.png
Lima,Peru,LATAM,,https://www.facebook.com/PyLadiesLima/,,https://www.linkedin.com/in/pyladies-lima-3bbb19181,,,https://www.meetup.com/pyladies-lima/,,,lima.png
London,United Kingdom,EMEA,,,,https://www.linkedin.com/company/pyladies-london/about/,https://pyladieslondon.github.io/,https://twitter.com/pyladieslondon?lang=en,https://www.meetup.com/pyladieslondon/,https://www.youtube.com/channel/UCyyvi0HywaHZHafPUdQB38g,,london.png
Los Angeles,USA,,https://pyladiesla.netlify.app/,https://www.facebook.com/groups/1936110746471751?locale=et_EE,,,https://github.com/PyLadies-LosAngeles,https://github.com/PyLadies-LosAngeles,https://www.meetup.com/pyladies-la/,,,los_angeles.png
Maceio,Brazil,LATAM,,https://www.facebook.com/people/PyLadies-Macei%C3%B3/100011766016329/?paipv=0&eav=Afb_C8Dz78625U53rr_NeRJ3rl1fdCNjQToKAFVG8XzhPMpgL7z3wB0BvnRbXoczxPo&_rdr,https://www.instagram.com/pyladiesmaceio/,,,https://twitter.com/PyLadiesMaceio,,https://www.youtube.com/channel/UCQTgxHNwoEEdBcJggPFILgA,,maceio.png
Madrid,Spain,EMEA,https://madrid.pyladies.com/,,,,https://github.com/pyladies/pyladies-madrid-website,https://twitter.com/pyladiesmadrid?lang=en,https://www.meetup.com/es-ES/pyladiesmadrid/,https://www.youtube.com/channel/UCkrOxxw1QAAPGmI0x0gBJJA,,madrid.png
Manaus,Brazil,LATAM,http://manaus.pyladies.com/,https://www.facebook.com/www.facebook.com/pyladiesmanaus/,https://www.instagram.com/pyladiesmanaus/,https://www.linkedin.com/company/pyladiesmanaus/about/,https://github.com/pyladiesmanaus,https://twitter.com/pyladiesmanaus,,https://www.youtube.com/@pyladiesmanaus?app=desktop,,manaus.png
Manila,Philippines,APAC,,https://www.facebook.com/groups/pyladiesmanila/,,,,https://twitter.com/pyladiesmanila?lang=en,https://www.meetup.com/pyladiesmanila/,,,manila.png
Maputo,Moçambique,EMEA,,,,https://www.linkedin.com/company/pyladies-maputo/,https://github.com/pyladies-maputo,https://twitter.com/PyLadiesMaputo,https://www.meetup.com/mpt-pyladies/,,,maputo.png
Medellin,Colombia,LATAM,,https://www.facebook.com/pyladiesmedellin/,https://www.instagram.com/pyladiesmed/,,,https://twitter.com/pyladiesmed?lang=en,https://www.meetup.com/pyladies-co-medellin/,https://www.youtube.com/channel/UCwS2QrZ9pHdBlHKRPbvBS5g,,medellin.png
Melbourne,Australia,APAC,,,,,https://github.com/pyladiesmelbourne,https://twitter.com/pyladiesmel?lang=en,https://www.meetup.com/pyladies-melbourne/,,,melbourne.png
Monterrey,Mexico,LATAM,,https://www.facebook.com/pyladiesmty,,https://www.linkedin.com/company/pyladies-monterrey/about/,,,,,,monterrey.png
Munich,Germany,EMEA,,https://www.facebook.com/PyLadiesMunich/,https://www.instagram.com/pyladiesmunich/?hl=en,https://www.linkedin.com/company/pyladies-munich/?originalSubdomain=de,https://github.com/PyLadies-Munich,https://twitter.com/pyladiesmunich?lang=en,https://www.meetup.com/de-DE/pyladiesmunich/,https://www.youtube.com/channel/UCiYzIa3vGRYi9R3Ynaf20Cw,,munich.png
Northwest UK,United Kingdom,EMEA,,,,,https://github.com/pyladies-nwuk,https://twitter.com/pyladiesnwuk?lang=en,,,,northwest_uk.png
NYC,USA,,https://nyc.pyladies.com/,https://www.facebook.com/NYCPyLadies/,,https://www.linkedin.com/company/nyc-pyladies/,https://github.com/nyc-pyladies,https://twitter.com/nycpyladies?lang=en,https://www.meetup.com/nyc-pyladies/,https://www.youtube.com/channel/UC6OCh6wMhYL09U8hIbakhVQ,,nyc.png
Oakland,USA,,,,,,,https://twitter.com/oak_pyladies,https://www.meetup.com/oakland-pyladies/,,,oakland.png
Okinawa,Japan,APAC,https://pyladies-okinawa.connpass.com/,,,,,https://twitter.com/pyladiesokinawa,,,,okinawa.png
Oruro,Bolivia,LATAM,,https://www.facebook.com/profile.php?id=61554093725487,,,,,,,,oruro.png
Oslo,Norway,EMEA,,,,,,,https://www.meetup.com/pyladies-oslo/,,,oslo.png
Ostrava,Czechia,EMEA,,https://www.facebook.com/pyladiesostrava/,,,,,,,,ostrava.png
Owerri,Nigeria,EMEA,,https://www.facebook.com/pyladies.imo.5,,,,https://twitter.com/pyladiesimo,,https://www.youtube.com/@pyladiesimo3917,,owerri.png
Panama,Panama,,,,,,,https://twitter.com/PyladiesPanama,,,,panama.png
